Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
100.0591,104.7558,81.80713,8723.68,563.7,0.094,27.677,47.21131,18.04 ft,67.97424,2.644532,3.697155,100.0571,99.65879,GW,70.02293,2.817,0,0,2.817,0,0,0,0,0,0,1.16829
103.0355,106.9158,84.18948,9125.676,997.488,1.058,28.012,48.80931,22.74 ft,73.40361,6.44208,6.237988,103.108,103.0752,GW,74.52142,4.112,0,0,4.112,0,0,0,0,0,0,1.129735
107.0408,111.3591,85.86942,8732.136,172.068,-4.347,25.6,47.2373,22.83 ft,69.2747,-7.264657,1.128875,107.0816,106.7782,GW,77.13193,4.46,0,0,4.46,0,0,0,0,0,0,1.11328
100.3799,104.1167,82.34847,9606.332,931.645,-2.97,23.798,43.94273,18.14 ft,58.17002,-1.43927,5.539358,100.457,100.0711,GW,77.68222,3.497,0,0,3.497,0,0,0,0,0,0,1.060068
103.6369,107.85,83.84274,8668.724,681.396,-1.33,26.537,47.18993,7.06 ft,68.30128,0.7931076,4.494434,103.6452,103.4318,GW,76.85679,-2.246,-10.344,0,-2.246,0,0,0,0,0,0,1.090896
105.6565,112.6959,87.1042,6862.299,1095.412,0.252,15.845,32.1817,22.22 ft,38.54267,6.23294,9.069468,105.819,105.2493,GW,71.99592,0.13,-9.55,0,0.13,0,0,0,0,0,0,1.209849
106.2183,111.5136,84.68384,7503.358,583.701,-0.773,22.629,42.11511,7.15 ft,57.16025,1.635842,4.448193,106.3423,105.8508,GW,71.83933,-1.975,-9.403,0,-1.975,0,0,0,0,0,0,1.178795
111.6752,117.2029,87.81555,7322.358,696.588,-1.443,22.024,41.96753,22.06 ft,60.0921,1.275953,5.434288,111.7196,111.4906,GW,71.33601,-1.545,-9.139,0,-1.545,0,0,0,0,0,0,1.231013
107.8839,112.2579,86.27431,8748.756,181.253,-3.358,24.46,45.76776,17.99 ft,66.47929,-5.417645,1.18686,107.9,107.7122,GW,71.41207,7.798,0,0,7.798,0,0,0,0,0,0,1.208119
94.26327,99.06351,78.85884,9343.538,1452.304,-1.166,23.242,41.56359,11.61 yds,50.63995,3.308957,8.835016,94.36069,93.66142,GW,75.55936,4.837,0,0,4.837,0,0,0,0,0,0,1.043667
97.23146,101.6213,80.51195,9470.203,1478.337,-2.237,24.557,43.75153,26.06 ft,56.98051,1.866065,8.872496,97.30475,96.66338,GW,75.06499,3.961,0,0,3.961,0,0,0,0,0,0,1.072563
100.0662,104.1692,81.7266,8907.913,417.761,-1.281,25.791,45.59184,17.55 ft,62.55412,-0.4473962,2.685075,100.1739,99.69598,GW,72.96898,4.27,0,0,4.27,0,0,0,0,0,0,1.120018
90.84915,96.57077,75.80543,7611.47,884.732,-0.031,25.745,41.71973,14.02 yds,51.70873,3.384971,6.630118,90.87273,89.80862,GW,63.42843,-5.381,1.356,0,-5.381,0,0,0,0,0,0,1.195133
97.98639,103.1873,80.12048,8332.47,645.488,-1.42,24.648,43.43499,20.49 ft,56.31387,0.3046162,4.429662,98.07261,97.53828,GW,74.2597,4.42,0,0,4.42,0,0,0,0,0,0,1.078923
101.7159,107.5166,83.55865,8349.383,1924.333,0.028,20.239,38.95159,29.28 ft,48.09788,8.416798,12.97867,101.7193,100.9711,GW,78.08934,4.706,0,0,4.706,0,0,0,0,0,0,1.070039
78.6849,82.02477,69.80371,9952.726,1344.152,-0.599,27.38,43.05706,10.25 yds,47.09948,2.54651,7.691467,78.77592,78.48643,SW,0,0,0,0,0,0,0,0,0,0,0,0
94.76286,99.3587,79.37558,8470.024,1956.685,-0.856,21.581,38.36287,29.58 ft,46.01093,5.978886,13.00787,94.75607,94.02668,SW,77.8992,7.738,0,0,7.738,0,0,0,0,0,0,1.018952
85.07273,87.38511,73.68704,10335.52,1248.432,-0.892,26.32,43.6198,15.37 ft,50.99156,2.215719,6.887418,85.0879,84.75503,SW,0,0,0,0,0,0,0,0,0,0,0,0
89.77393,91.85732,76.82323,10483.79,1636.925,-1.684,28.173,47.78849,8.82 ft,60.83813,2.546901,8.874436,89.76529,89.61832,SW,0,0,0,0,0,0,0,0,0,0,0,0
89.28673,91.88662,76.12306,10160.28,1294.703,-1.072,26.853,45.15522,8.18 ft,56.2339,2.426162,7.261942,89.31358,89.07809,SW,76.82547,8.096,0,0,8.096,0,0,0,0,0,0,0.9908571
80.90816,82.96127,71.33826,10389.99,946.502,-1.401,29.194,46.7703,10.06 ft,53.95119,0.5119694,5.205137,81.03121,80.28434,SW,0,0,0,0,0,0,0,0,0,0,0,0
87.17699,90.61623,74.72946,9720.746,123.197,0.001,29.112,47.29679,10.94 yds,59.47769,0.3924606,0.7261058,87.19097,86.92039,LW,68.19759,5.78,0,0,5.78,0,0,0,0,0,0,1.095779
77.17554,79.11794,69.22434,10465.22,1699.197,1.889,26.532,42.00204,21.05 ft,44.45926,6.492918,9.222414,77.29858,76.75854,LW,0,0,0,0,0,0,0,0,0,0,0,0
78.0659,79.63546,69.89767,10877.71,1518.067,-0.925,25.949,41.59209,7.84 ft,44.40759,2.26231,7.944748,78.19219,77.70013,LW,0,0,0,0,0,0,0,0,0,0,0,0
88.58869,91.9257,75.87253,10240.44,843.342,-1.353,28.636,46.9783,12.26 yds,60.46334,0.5737603,4.707915,88.68066,88.47987,LW,74.52589,6.297,0,0,6.297,0,0,0,0,0,0,1.018069
73.05946,75.8653,66.60936,9815.348,1236.704,-1.904,26.362,40.26033,11.55 ft,40.13272,0.2510796,7.181252,73.11524,72.3119,LW,70.68507,6.281,0,0,6.281,0,0,0,0,0,0,0.9423399
83.46389,85.94376,72.59765,10186.8,490.701,-3.333,27.488,44.3131,21.34 ft,52.09073,-3.488722,2.757821,83.58911,82.99432,LW,0,0,0,0,0,0,0,0,0,0,0,0
69.22642,73.12977,63.86911,9005.546,463.604,-2.377,29.558,42.34593,20.6 ft,42.30486,-1.897696,2.946976,69.34599,68.58158,LW,0,0,0,0,0,0,0,0,0,0,0,0
66.19112,70.37813,62.11535,8776.962,685.753,-2.397,28.705,40.20402,28.31 ft,38.07827,-1.438801,4.467502,66.2673,65.49979,LW,0,0,0,0,0,0,0,0,0,0,0,0
82.6483,87.90191,74.21272,8125.471,1865.94,-2.017,18.517,31.92796,26.12 ft,31.35029,2.529825,12.93322,82.66259,81.44576,LW,0,0,0,0,0,0,0,0,0,0,0,0
69.81779,74.44138,64.7348,8676.222,698.415,-5.28,25.043,37.90771,22.52 ft,34.62738,-4.950001,4.602249,69.81745,69.21916,LW,73.77651,-3.343,0,0,-3.343,0,0,0,0,0,0,0.8774446
89.75903,100.3756,79.7156,7046.699,956.554,-4.767,15.16,28.61371,20.99 yds,28.48988,-3.88623,7.730363,89.84027,88.82109,LW,0,0,0,0,0,0,0,0,0,0,0,0
73.11223,76.47876,66.28277,9278.072,118.042,-3.058,27.469,41.91387,15.08 ft,41.86,-3.634712,0.7289169,73.15659,72.58311,LW,0,0,0,0,0,0,0,0,0,0,0,0
73.6413,75.22934,67.12386,10669.85,1296.533,-0.216,28.031,43.54263,15.9 ft,44.64253,2.483765,6.928256,73.7508,73.43504,LW,0,0,0,0,0,0,0,0,0,0,0,0
74.12115,77.64925,66.75253,8962.293,934.692,-3.087,28.502,43.28515,8.1 ft,44.48221,-1.757345,5.953945,74.15428,73.66798,LW,59.07535,0.934,0,0,0.934,0,0,0,0,0,0,1.129956
73.5872,75.55846,67.22452,10655.51,796.72,-2.455,25.427,39.86244,13.11 ft,39.45771,-1.490709,4.276089,73.59575,73.15836,LW,0,0,0,0,0,0,0,0,0,0,0,0
71.60655,74.16314,65.71906,9927.229,1187.822,0.444,27.15,40.98576,19.52 ft,40.5161,3.030267,6.82317,71.68602,70.88364,LW,0,0,0,0,0,0,0,0,0,0,0,0
79.26207,79.53904,70.89087,11769.98,626.737,-2.488,26.293,44.18579,5.58 ft,47.19862,-1.998337,3.048051,79.27475,78.86701,LW,71.80801,6.66,0,0,6.66,0,0,0,0,0,0,0.9872278
